hlnum,ctermfg,ctermbg,guifg,guibg
1,Black,DarkRed,red,
2,Black,Green,black,chartreuse
3,Black,DarkBlue,blue,
4,Black,DarkMagenta,white,firebrick
5,Black,Grey,white,DarkGreen
6,Black,DarkYellow,white,DarkSlateBlue
7,Black,Magenta,black,IndianRed
8,Black,Blue,green,
9,Black,Cyan,black,DeepSkyBlue
11,,,red,grey20
12,,,green,grey20
13,,,CornflowerBlue,grey20
14,,,red,grey40
15,,,green,grey40
16,,,blue,grey40
17,,,red,grey70
18,,,DarkGreen,grey70
19,,,blue,grey70
21,,,black,thistle
22,,,black,burlywood
23,,,black,PowderBlue
24,,,black,peru
25,,,black,DarkSeaGreen
26,,,black,SteelBlue
27,,,black,DarkOrange
28,,,black,DarkOliveGreen
29,,,black,SlateGray

